freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.792e+03,3.582e+01,4.047e+01,2.869e+03
1.6,1.667e+03,1.173e+02,6.800e+01,1.852e+03
3.1,2.736e+02,1.307e+02,6.395e+01,4.682e+02
4.7,1.509e+03,1.230e+02,7.050e+01,1.702e+03
6.2,5.001e+03,1.197e+02,6.922e+01,5.190e+03
7.8,7.920e+03,1.204e+02,6.286e+01,8.103e+03
9.4,1.089e+04,1.265e+02,6.262e+01,1.108e+04
10.9,1.524e+04,1.237e+02,6.685e+01,1.543e+04
12.5,2.064e+04,1.383e+02,6.659e+01,2.084e+04
14.1,2.764e+04,1.555e+02,7.310e+01,2.787e+04
15.6,3.780e+04,1.647e+02,6.538e+01,3.803e+04
17.2,5.117e+04,1.905e+02,5.963e+01,5.142e+04
18.7,6.360e+04,2.127e+02,7.198e+01,6.389e+04
20.3,6.828e+04,2.380e+02,1.093e+02,6.863e+04
21.9,7.431e+04,2.931e+02,1.286e+02,7.473e+04
23.4,8.900e+04,3.284e+02,1.173e+02,8.944e+04
25.0,1.069e+05,3.196e+02,9.450e+01,1.074e+05
26.6,1.270e+05,3.419e+02,1.150e+02,1.274e+05
28.1,1.517e+05,4.126e+02,1.210e+02,1.523e+05
29.7,1.833e+05,4.768e+02,9.639e+01,1.839e+05
31.2,2.229e+05,5.046e+02,9.439e+01,2.235e+05
32.8,2.728e+05,5.442e+02,8.439e+01,2.735e+05
34.4,3.383e+05,6.656e+02,7.981e+01,3.390e+05
35.9,4.272e+05,8.653e+02,7.665e+01,4.282e+05
37.5,5.445e+05,1.120e+03,7.266e+01,5.457e+05
39.0,6.886e+05,1.474e+03,6.310e+01,6.902e+05
40.6,8.850e+05,1.921e+03,6.176e+01,8.870e+05
42.2,1.191e+06,2.622e+03,8.364e+01,1.193e+06
43.7,1.655e+06,3.845e+03,1.411e+02,1.659e+06
45.3,2.422e+06,5.980e+03,2.623e+02,2.429e+06
46.9,4.021e+06,1.039e+04,7.807e+02,4.033e+06
48.4,7.036e+06,1.938e+04,2.583e+03,7.057e+06
50.0,9.196e+06,2.815e+04,5.603e+03,9.230e+06
51.5,9.047e+06,3.156e+04,8.318e+03,9.087e+06
53.1,7.657e+06,3.180e+04,9.790e+03,7.699e+06
54.7,6.060e+06,2.927e+04,1.051e+04,6.100e+06
56.2,4.879e+06,2.475e+04,1.094e+04,4.915e+06
57.8,4.068e+06,1.628e+04,1.128e+04,4.096e+06
59.3,3.248e+06,9.535e+03,1.015e+04,3.268e+06
60.9,2.551e+06,6.174e+03,7.869e+03,2.565e+06
62.5,2.092e+06,4.493e+03,5.666e+03,2.102e+06
64.0,1.773e+06,3.307e+03,4.879e+03,1.781e+06
65.6,1.554e+06,2.319e+03,7.262e+03,1.563e+06
67.2,1.394e+06,1.573e+03,1.238e+04,1.407e+06
68.7,1.256e+06,1.029e+03,1.901e+04,1.276e+06
70.3,1.135e+06,7.641e+02,2.600e+04,1.162e+06
71.8,1.016e+06,7.081e+02,3.409e+04,1.050e+06
73.4,8.785e+05,1.034e+03,4.377e+04,9.233e+05
75.0,7.105e+05,1.669e+03,5.693e+04,7.691e+05
76.5,5.524e+05,9.598e+02,9.668e+04,6.500e+05
78.1,4.144e+05,5.705e+02,2.006e+05,6.156e+05
79.7,3.331e+05,9.632e+02,3.253e+05,6.593e+05
81.2,3.980e+05,6.458e+02,2.897e+05,6.883e+05
82.8,4.454e+05,2.387e+02,1.689e+05,6.145e+05
84.3,4.113e+05,3.566e+02,9.941e+04,5.111e+05
85.9,3.541e+05,6.104e+02,6.635e+04,4.211e+05
87.5,2.900e+05,6.814e+02,4.601e+04,3.367e+05
89.0,2.363e+05,6.457e+02,3.463e+04,2.715e+05
90.6,1.972e+05,5.744e+02,2.932e+04,2.271e+05
92.1,1.637e+05,1.152e+03,2.712e+04,1.920e+05
93.7,1.344e+05,1.700e+03,2.724e+04,1.634e+05
95.3,1.144e+05,1.462e+03,2.911e+04,1.449e+05
96.8,1.066e+05,6.191e+03,3.310e+04,1.459e+05
98.4,1.175e+05,1.628e+04,3.802e+04,1.718e+05
100.0,1.644e+05,2.219e+04,4.349e+04,2.301e+05
101.5,2.367e+05,2.464e+04,4.413e+04,3.055e+05
103.1,2.872e+05,2.285e+04,4.469e+04,3.547e+05
104.6,3.247e+05,2.194e+04,4.733e+04,3.940e+05
106.2,3.552e+05,1.677e+04,4.919e+04,4.212e+05
107.8,3.592e+05,1.166e+04,4.766e+04,4.185e+05
109.3,3.466e+05,8.973e+03,4.535e+04,4.009e+05
110.9,3.460e+05,6.664e+03,4.770e+04,4.004e+05
112.5,3.241e+05,6.164e+03,4.705e+04,3.774e+05
114.0,2.976e+05,6.045e+03,4.353e+04,3.472e+05
115.6,2.847e+05,5.258e+03,4.354e+04,3.335e+05
117.1,2.605e+05,2.599e+03,4.370e+04,3.068e+05
118.7,3.086e+05,1.913e+03,5.616e+04,3.667e+05
120.3,3.416e+05,2.085e+03,6.202e+04,4.057e+05
121.8,3.165e+05,2.689e+03,5.490e+04,3.740e+05
123.4,2.801e+05,3.136e+03,4.631e+04,3.296e+05
124.9,4.916e+05,3.383e+03,7.635e+04,5.713e+05
126.5,6.936e+05,3.832e+03,9.840e+04,7.958e+05
128.1,7.658e+05,3.789e+03,9.992e+04,8.695e+05
129.6,8.154e+05,3.509e+03,9.851e+04,9.174e+05
131.2,8.365e+05,3.186e+03,9.410e+04,9.338e+05
132.8,5.953e+05,2.231e+03,6.353e+04,6.610e+05
134.3,1.341e+05,6.013e+02,1.385e+04,1.485e+05
135.9,5.514e+04,3.164e+02,5.437e+03,6.089e+04
137.4,5.784e+04,3.132e+02,5.643e+03,6.379e+04
139.0,6.040e+04,2.989e+02,5.744e+03,6.644e+04
140.6,6.318e+04,3.018e+02,5.878e+03,6.936e+04
142.1,7.385e+04,2.903e+02,6.817e+03,8.096e+04
143.7,9.046e+04,3.014e+02,8.249e+03,9.901e+04
145.3,1.111e+05,3.469e+02,9.913e+03,1.213e+05
146.8,1.379e+05,3.866e+02,1.190e+04,1.502e+05
148.4,1.547e+05,5.962e+02,1.314e+04,1.684e+05
149.9,1.608e+05,1.024e+03,1.389e+04,1.757e+05
151.5,1.458e+05,1.363e+03,1.286e+04,1.600e+05
153.1,1.251e+05,1.594e+03,1.095e+04,1.377e+05
154.6,1.099e+05,1.592e+03,9.678e+03,1.212e+05
156.2,1.033e+05,1.303e+03,9.123e+03,1.137e+05
157.7,9.705e+04,1.169e+03,8.623e+03,1.068e+05
159.3,9.108e+04,1.181e+03,7.909e+03,1.002e+05
160.9,9.206e+04,1.302e+03,7.812e+03,1.012e+05
162.4,1.048e+05,1.587e+03,8.572e+03,1.150e+05
164.0,1.173e+05,1.538e+03,9.296e+03,1.281e+05
165.6,1.159e+05,8.126e+02,9.087e+03,1.258e+05
167.1,1.259e+05,7.453e+02,9.761e+03,1.364e+05
168.7,1.515e+05,1.320e+03,1.165e+04,1.644e+05
170.2,1.448e+05,2.271e+03,1.135e+04,1.584e+05
171.8,1.297e+05,1.118e+03,9.513e+03,1.403e+05
173.4,1.276e+05,4.322e+02,9.015e+03,1.371e+05
174.9,1.432e+05,4.918e+02,9.896e+03,1.535e+05
176.5,1.496e+05,5.776e+02,9.976e+03,1.601e+05
178.0,1.499e+05,6.287e+02,9.561e+03,1.601e+05
179.6,1.500e+05,5.555e+02,9.343e+03,1.599e+05
181.2,1.571e+05,5.442e+02,9.577e+03,1.673e+05
182.7,1.653e+05,1.064e+03,1.005e+04,1.764e+05
184.3,1.605e+05,2.408e+03,9.954e+03,1.728e+05
185.9,1.638e+05,2.082e+03,1.016e+04,1.761e+05
187.4,1.799e+05,1.325e+03,1.109e+04,1.923e+05
189.0,1.931e+05,1.875e+03,1.203e+04,2.070e+05
190.5,2.065e+05,3.097e+03,1.311e+04,2.227e+05
192.1,2.202e+05,4.626e+03,1.441e+04,2.392e+05
193.7,2.291e+05,7.038e+03,1.519e+04,2.513e+05
195.2,2.359e+05,9.747e+03,1.550e+04,2.611e+05
196.8,2.406e+05,1.226e+04,1.565e+04,2.686e+05
198.4,2.510e+05,1.382e+04,1.611e+04,2.809e+05
199.9,2.533e+05,1.566e+04,1.615e+04,2.851e+05
