freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.270e+02,6.650e+03,8.779e+01,6.964e+03
1.6,8.757e+02,6.270e+03,2.813e+02,7.427e+03
3.1,1.111e+03,3.478e+03,2.734e+02,4.862e+03
4.7,1.050e+03,4.357e+03,2.180e+02,5.625e+03
6.3,1.009e+03,7.763e+03,2.301e+02,9.003e+03
7.9,1.096e+03,1.173e+04,2.449e+02,1.307e+04
9.4,1.111e+03,1.618e+04,2.995e+02,1.759e+04
11.0,9.815e+02,1.904e+04,2.988e+02,2.032e+04
12.6,9.717e+02,2.392e+04,3.185e+02,2.521e+04
14.1,1.164e+03,2.891e+04,3.027e+02,3.038e+04
15.7,1.210e+03,3.421e+04,2.914e+02,3.571e+04
17.3,1.065e+03,4.210e+04,2.956e+02,4.346e+04
18.9,1.278e+03,5.050e+04,3.166e+02,5.209e+04
20.4,1.477e+03,5.819e+04,3.642e+02,6.003e+04
22.0,1.424e+03,6.669e+04,3.681e+02,6.849e+04
23.6,1.299e+03,7.634e+04,3.194e+02,7.796e+04
25.2,1.207e+03,8.795e+04,2.520e+02,8.941e+04
26.7,1.259e+03,1.027e+05,2.343e+02,1.042e+05
28.3,1.207e+03,1.168e+05,3.193e+02,1.183e+05
29.9,1.222e+03,1.306e+05,3.313e+02,1.322e+05
31.4,1.252e+03,1.482e+05,3.970e+02,1.499e+05
33.0,1.211e+03,1.671e+05,4.128e+02,1.687e+05
34.6,1.297e+03,1.875e+05,3.517e+02,1.892e+05
36.2,1.378e+03,2.124e+05,3.278e+02,2.141e+05
37.7,1.369e+03,2.395e+05,3.372e+02,2.412e+05
39.3,1.592e+03,2.705e+05,3.134e+02,2.724e+05
40.9,1.838e+03,3.041e+05,2.734e+02,3.062e+05
42.4,2.002e+03,3.432e+05,3.001e+02,3.455e+05
44.0,1.993e+03,3.881e+05,3.585e+02,3.905e+05
45.6,2.094e+03,4.393e+05,2.694e+02,4.417e+05
47.2,2.101e+03,4.979e+05,3.001e+02,5.003e+05
48.7,2.302e+03,5.657e+05,3.338e+02,5.683e+05
50.3,2.546e+03,6.443e+05,3.017e+02,6.472e+05
51.9,2.571e+03,7.368e+05,2.973e+02,7.396e+05
53.5,2.585e+03,8.435e+05,2.529e+02,8.464e+05
55.0,2.687e+03,9.685e+05,2.753e+02,9.715e+05
56.6,2.911e+03,1.113e+06,2.961e+02,1.117e+06
58.2,3.082e+03,1.290e+06,3.620e+02,1.293e+06
59.7,3.244e+03,1.503e+06,4.126e+02,1.507e+06
61.3,3.383e+03,1.752e+06,4.501e+02,1.756e+06
62.9,3.768e+03,2.021e+06,5.008e+02,2.025e+06
64.5,4.778e+03,2.321e+06,5.549e+02,2.326e+06
66.0,6.217e+03,2.731e+06,5.502e+02,2.737e+06
67.6,7.867e+03,3.295e+06,4.920e+02,3.304e+06
69.2,9.769e+03,4.028e+06,4.695e+02,4.038e+06
70.7,1.202e+04,5.043e+06,5.702e+02,5.055e+06
72.3,1.364e+04,6.497e+06,8.755e+02,6.511e+06
73.9,1.427e+04,8.703e+06,1.862e+03,8.720e+06
75.5,1.508e+04,1.184e+07,4.398e+03,1.186e+07
77.0,1.606e+04,1.631e+07,9.950e+03,1.634e+07
78.6,2.286e+04,2.401e+07,2.176e+04,2.405e+07
80.2,3.519e+04,3.752e+07,4.466e+04,3.760e+07
81.8,4.535e+04,5.571e+07,8.086e+04,5.583e+07
83.3,2.912e+04,6.326e+07,1.573e+05,6.345e+07
84.9,1.465e+04,5.619e+07,2.687e+05,5.647e+07
86.5,5.033e+04,4.680e+07,3.813e+05,4.723e+07
88.0,1.747e+05,3.723e+07,5.172e+05,3.792e+07
89.6,3.668e+05,2.787e+07,5.938e+05,2.883e+07
91.2,5.955e+05,2.140e+07,6.005e+05,2.259e+07
92.8,6.290e+05,1.701e+07,4.531e+05,1.809e+07
94.3,4.322e+05,1.306e+07,2.457e+05,1.374e+07
95.9,3.093e+05,1.025e+07,1.556e+05,1.071e+07
97.5,2.531e+05,8.520e+06,1.270e+05,8.900e+06
99.0,1.869e+05,7.280e+06,9.771e+04,7.564e+06
100.6,1.247e+05,6.301e+06,6.355e+04,6.490e+06
102.2,8.567e+04,5.324e+06,3.919e+04,5.449e+06
103.8,6.778e+04,4.546e+06,2.524e+04,4.639e+06
105.3,5.230e+04,3.863e+06,1.729e+04,3.933e+06
106.9,4.128e+04,3.258e+06,1.396e+04,3.314e+06
108.5,3.326e+04,2.716e+06,1.082e+04,2.760e+06
